┌────┬──────────┬───────┬───────────────────┬────────────────────────┐
│ id │ username │ role  │       email       │       auth_token       │
├────┼──────────┼───────┼───────────────────┼────────────────────────┤
│ 1  │ admin    │ admin │ admin@local.com   │ 1QGOA6YxgFANPE6XlGYPpg │
│ 5  │ sandro   │ admin │ sandrone1@htb.com │ ruhgyG-xkpLZrKDen3zKeQ │
└────┴──────────┴───────┴───────────────────┴────────────────────────┘
┌─────┬─────────────┬─────────────┬─────────┬────────────┬────┐
│ cid │    name     │    type     │ notnull │ dflt_value │ pk │
├─────┼─────────────┼─────────────┼─────────┼────────────┼────┤
│ 0   │ id          │ INTEGER     │ 1       │            │ 1  │
│ 1   │ path        │ varchar     │ 0       │            │ 0  │
│ 2   │ browser_key │ varchar     │ 0       │            │ 0  │
│ 3   │ site_id     │ INTEGER     │ 0       │            │ 0  │
│ 4   │ created_at  │ datetime(6) │ 0       │            │ 0  │
└─────┴─────────────┴─────────────┴─────────┴────────────┴────┘
┌───────┬───────────────────────────────────────────────┬──────────────────────────────────┬─────────┬────────────────────────────┐
│  id   │                     path                      │           browser_key            │ site_id │         created_at         │
├───────┼───────────────────────────────────────────────┼──────────────────────────────────┼─────────┼────────────────────────────┤
│ 7726  │ get_/.cache                                   │ 3fe3cd60a4437c3b6609ac2c3f418880 │ 1       │ 2026-03-23 09:09:59.096219 │
│ 7727  │ get_/_code                                    │ f88b68bc8921a6b11b0922531402fcd4 │ 1       │ 2026-03-23 09:09:59.251778 │
│ 7728  │ get_/.bash_history                            │ b98e36164466fd0daff0124563bc36cf │ 1       │ 2026-03-23 09:09:59.303645 │
│ 7729  │ get_/                                         │ 56d0248c3f335f610dda18bbe5988468 │ 1       │ 2026-03-23 09:09:59.376815 │
│ 7730  │ get_/.history                                 │ 0a94631875820845b1c53a025c189ae0 │ 1       │ 2026-03-23 09:09:59.399545 │
│ 7731  │ get_/.cvs                                     │ 37f233035fdc7c4ad419a47cebf300d0 │ 1       │ 2026-03-23 09:09:59.456542 │
│ 7732  │ get_/.swf                                     │ 24ae92afb0f6558350e1c42b181f8951 │ 1       │ 2026-03-23 09:09:59.551102 │
│ 7733  │ get_/_                                        │ 378f6bc2d0ed7d10214228aa906c5436 │ 1       │ 2026-03-23 09:09:59.613781 │
│ 7734  │ get_/.hta                                     │ 6079a6f6501d53426f4fcc300416e707 │ 1       │ 2026-03-23 09:09:59.635515 │
│ 7735  │ get_/.ssh                                     │ e2561549488223fa2f364766dcc58c36 │ 1       │ 2026-03-23 09:09:59.740773 │
│ 7736  │ get_/.web                                     │ 697e1aad6eb55ddf1d3ab7be50dec27b │ 1       │ 2026-03-23 09:09:59.810107 │
│ 7737  │ get_/.svn                                     │ 32d0dc282661c0611980e3a45db59358 │ 1       │ 2026-03-23 09:09:59.899492 │
│ 7738  │ get_/.config                                  │ 6fe332b75c404624711d526edc48e71e │ 1       │ 2026-03-23 09:09:59.987387 │
│ 7739  │ get_/.cvsignore                               │ 93e82b722d7c6926d49e218e01c5cf0d │ 1       │ 2026-03-23 09:10:00.066816 │
│ 7740  │ get_/.sh_history                              │ 8ca8585862a6b76aa1f4f00bfef71290 │ 1       │ 2026-03-23 09:10:00.153782 │
│ 7741  │ get_/.bashrc                                  │ 636e07dc888b0e01eb6eccf0bd199d9c │ 1       │ 2026-03-23 09:10:00.244821 │
│ 7742  │ get_/_archive                                 │ 847af41af47f2b9751af895b237164de │ 1       │ 2026-03-23 09:10:00.327061 │
